user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,137504
2047,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,137505
2039,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,137506
2047,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,137507
2039,Coop,0,140,8,20,-12,-5,2047,Coop,0,140,8,20,-12,-5,137508
2047,Coop,0,148,8,20,-12,-5,2039,Coop,0,148,8,20,-12,-5,137509
2039,Coop,0,156,8,20,-12,-5,2047,Coop,0,156,8,20,-12,-5,137510
2047,Coop,0,164,8,20,-12,-5,2039,Coop,0,164,8,20,-12,-5,137511
2039,Coop,0,172,8,20,-12,-5,2047,Coop,0,172,8,20,-12,-5,137512
2047,Coop,0,180,8,20,-12,-5,2039,Coop,0,180,8,20,-12,-5,137513
2039,Coop,0,188,8,20,-12,-5,2047,Coop,0,188,8,20,-12,-5,137514
2047,Coop,0,196,8,20,-12,-5,2039,Coop,0,196,8,20,-12,-5,137515
2039,Coop,0,204,8,20,-12,-5,2047,Coop,0,204,8,20,-12,-5,137516
2047,Coop,0,212,8,20,-12,-5,2039,Coop,0,212,8,20,-12,-5,137517
2039,Coop,0,220,8,20,-12,-5,2047,Coop,0,220,8,20,-12,-5,137518
2047,Coop,0,228,8,20,-12,-5,2039,Coop,0,228,8,20,-12,-5,137519
2039,Coop,0,236,8,20,-12,-5,2047,Coop,0,236,8,20,-12,-5,137520
2047,Coop,0,244,8,20,-12,-5,2039,Coop,0,244,8,20,-12,-5,137521
2039,Coop,0,252,8,20,-12,-5,2047,Coop,0,252,8,20,-12,-5,137522
2047,Coop,0,260,8,20,-12,-5,2039,Coop,0,260,8,20,-12,-5,137523
2039,Coop,0,268,8,20,-12,-5,2047,Coop,0,268,8,20,-12,-5,137524
2047,Coop,0,276,8,20,-12,-5,2039,Coop,0,276,8,20,-12,-5,137525
2039,Coop,0,284,8,20,-12,-5,2047,Coop,0,284,8,20,-12,-5,137526
2047,Coop,0,292,8,20,-12,-5,2039,Coop,0,292,8,20,-12,-5,137527
2039,Coop,0,300,8,20,-12,-5,2047,Coop,0,300,8,20,-12,-5,137528
2047,Coop,0,308,8,20,-12,-5,2039,Coop,0,308,8,20,-12,-5,137529
2039,Coop,0,316,8,20,-12,-5,2047,Coop,0,316,8,20,-12,-5,137530
2047,Coop,0,324,8,20,-12,-5,2039,Coop,0,324,8,20,-12,-5,137531
2039,Coop,0,332,8,20,-12,-5,2047,Coop,0,332,8,20,-12,-5,137532
2047,Coop,0,340,8,20,-12,-5,2039,Coop,0,340,8,20,-12,-5,137533
2039,Coop,0,348,8,20,-12,-5,2047,Coop,0,348,8,20,-12,-5,137534
2047,Coop,0,356,8,20,-12,-5,2039,Coop,0,356,8,20,-12,-5,137535
2039,Coop,0,364,8,20,-12,-5,2047,Coop,0,364,8,20,-12,-5,137536
2047,Coop,0,372,8,20,-12,-5,2039,Coop,0,372,8,20,-12,-5,137537
2039,Coop,0,380,8,20,-12,-5,2047,Coop,0,380,8,20,-12,-5,137538
2047,Coop,0,388,8,20,-12,-5,2039,Coop,0,388,8,20,-12,-5,137539
2039,Coop,0,396,8,20,-12,-5,2047,Coop,0,396,8,20,-12,-5,137540
2047,Coop,0,404,8,20,-12,-5,2039,Coop,0,404,8,20,-12,-5,137541
2039,Coop,0,412,8,20,-12,-5,2047,Coop,0,412,8,20,-12,-5,137542
2047,Coop,0,420,8,20,-12,-5,2039,Coop,0,420,8,20,-12,-5,137543
2039,Coop,0,428,8,20,-12,-5,2047,Coop,0,428,8,20,-12,-5,137544
2047,Coop,0,436,8,20,-12,-5,2039,Coop,0,436,8,20,-12,-5,137545
2039,Coop,0,444,8,20,-12,-5,2047,Coop,0,444,8,20,-12,-5,137546
2047,Coop,0,452,8,20,-12,-5,2039,Coop,0,452,8,20,-12,-5,137547
2039,Coop,0,460,8,20,-12,-5,2047,Coop,0,460,8,20,-12,-5,137548
2047,Coop,0,468,8,20,-12,-5,2039,Coop,0,468,8,20,-12,-5,137549
2039,Coop,0,476,8,20,-12,-5,2047,Coop,0,476,8,20,-12,-5,137550
2047,Coop,0,484,8,20,-12,-5,2039,Coop,0,484,8,20,-12,-5,137551
2039,Coop,0,492,8,20,-12,-5,2047,Coop,0,492,8,20,-12,-5,137552
2047,Coop,0,500,8,20,-12,-5,2039,Coop,0,500,8,20,-12,-5,137553
2039,Coop,0,508,8,20,-12,-5,2047,Coop,0,508,8,20,-12,-5,137554
2047,Coop,0,516,8,20,-12,-5,2039,Coop,0,516,8,20,-12,-5,137555
2039,Coop,0,524,8,20,-12,-5,2047,Coop,0,524,8,20,-12,-5,137556
2047,Coop,0,532,8,20,-12,-5,2039,Coop,0,532,8,20,-12,-5,137557
2039,Coop,0,540,8,20,-12,-5,2047,Coop,0,540,8,20,-12,-5,137558
2047,Coop,0,548,8,20,-12,-5,2039,Coop,0,548,8,20,-12,-5,137559
2039,Coop,0,556,8,20,-12,-5,2047,Coop,0,556,8,20,-12,-5,137560
2047,Coop,0,564,8,20,-12,-5,2039,Coop,0,564,8,20,-12,-5,137561
2039,Coop,0,572,8,20,-12,-5,2047,Coop,0,572,8,20,-12,-5,137562
2047,Coop,0,580,8,20,-12,-5,2039,Coop,0,580,8,20,-12,-5,137563
2039,Coop,0,588,8,20,-12,-5,2047,Coop,0,588,8,20,-12,-5,137564
2047,Coop,0,596,8,20,-12,-5,2039,Coop,0,596,8,20,-12,-5,137565
2039,Coop,0,604,8,20,-12,-5,2047,Coop,0,604,8,20,-12,-5,137566
2039,Buy,0,604,8,20,-12,-5,2039,Buy,0,104,9,21,-11,-4,137567
2047,Buy,0,604,8,20,-12,-5,2047,Buy,0,104,9,21,-11,-4,137568
2047,Coop,0,113,9,21,-11,-4,2039,Coop,0,113,9,21,-11,-4,137569
2039,Coop,0,122,9,21,-11,-4,2047,Coop,0,122,9,21,-11,-4,137570
2047,Coop,0,131,9,21,-11,-4,2039,Coop,0,131,9,21,-11,-4,137571
2039,Coop,0,140,9,21,-11,-4,2047,Coop,0,140,9,21,-11,-4,137572
2047,Coop,0,149,9,21,-11,-4,2039,Coop,0,149,9,21,-11,-4,137573
2039,Coop,0,158,9,21,-11,-4,2047,Coop,0,158,9,21,-11,-4,137574
2047,Coop,0,167,9,21,-11,-4,2039,Coop,0,167,9,21,-11,-4,137575
2039,Coop,0,176,9,21,-11,-4,2047,Coop,0,176,9,21,-11,-4,137576
2047,Coop,0,185,9,21,-11,-4,2039,Coop,0,185,9,21,-11,-4,137577
2039,Coop,0,194,9,21,-11,-4,2047,Coop,0,194,9,21,-11,-4,137578
2047,Coop,0,203,9,21,-11,-4,2039,Coop,0,203,9,21,-11,-4,137579
2039,Coop,0,212,9,21,-11,-4,2047,Coop,0,212,9,21,-11,-4,137580
2047,Coop,0,221,9,21,-11,-4,2039,Coop,0,221,9,21,-11,-4,137581
2039,Coop,0,230,9,21,-11,-4,2047,Coop,0,230,9,21,-11,-4,137582
2047,Coop,0,239,9,21,-11,-4,2039,Coop,0,239,9,21,-11,-4,137583
2039,Coop,0,248,9,21,-11,-4,2047,Coop,0,248,9,21,-11,-4,137584
2047,Coop,0,257,9,21,-11,-4,2039,Coop,0,257,9,21,-11,-4,137585
2039,Coop,0,266,9,21,-11,-4,2047,Coop,0,266,9,21,-11,-4,137586
2047,Coop,0,275,9,21,-11,-4,2039,Coop,0,275,9,21,-11,-4,137587
2039,Coop,0,284,9,21,-11,-4,2047,Coop,0,284,9,21,-11,-4,137588
2047,Coop,0,293,9,21,-11,-4,2039,Coop,0,293,9,21,-11,-4,137589
2039,Coop,0,302,9,21,-11,-4,2047,Coop,0,302,9,21,-11,-4,137590
2047,Coop,0,311,9,21,-11,-4,2039,Coop,0,311,9,21,-11,-4,137591
2039,Coop,0,320,9,21,-11,-4,2047,Coop,0,320,9,21,-11,-4,137592
2047,Coop,0,329,9,21,-11,-4,2039,Coop,0,329,9,21,-11,-4,137593
2039,Coop,0,338,9,21,-11,-4,2047,Coop,0,338,9,21,-11,-4,137594
2047,Coop,0,347,9,21,-11,-4,2039,Coop,0,347,9,21,-11,-4,137595
2039,Coop,0,356,9,21,-11,-4,2047,Coop,0,356,9,21,-11,-4,137596
